Rank,Ticker,Name,Market Cap (Original),Original Currency,Market Cap (EUR),Market Cap (USD),Price,Exchange,Active,Description,Homepage URL,Employees,Date
17,7936.T,ASICS Corporation,2636830451672,JPY,15349332847.14143,17942260255.521835,0,JPX,true,,,,2025-07-01
18,1929.HK,Chow Tai Fook Jewellery Group Limited,139095755520,HKD,15218466611.4432,17787112775.78219,14.1,HKSE,true,,,,2025-07-01
19,ONON,On Holding AG,17693388842,USD,15136517220.44258,17693388842,0,NYSE,true,,,,2025-07-01
20,RL,Ralph Lauren Corporation,16598100000,USD,14199508569,16598100000,0,NYSE,true,,,,2025-07-01
21,DKS,"DICK'S Sporting Goods, Inc.",16339485540,USD,13978266484.6146,16339485540,0,NYSE,true,,,,2025-07-01
22,DECK,Deckers Outdoor Corporation,15740857600,USD,13466146268.223999,15740857600,0,NYSE,true,,,,2025-07-01
23,MONC.MI,Moncler S.p.A.,13373370462,EUR,13373370462,15632410036.353434,0,MIL,true,,,,2025-07-01
24,BURL,"Burlington Stores, Inc.",14953117760,USD,12792242712.5024,14953117760,0,NYSE,true,,,,2025-07-01
25,1913.HK,Prada S.p.A.,106139853600,HKD,11612761382.376,13572819234.708818,41.48,HKSE,true,,,,2025-07-01
26,DOCS,"Doximity, Inc.",10996573560,USD,9407458714.8444,10996573560,0,NYSE,true,,,,2025-07-01
27,SKX,"Skechers U.S.A., Inc.",9430822320,USD,8067974186.536799,9430822320,0,NYSE,true,,,,2025-07-01
28,BIRK,Birkenstock Holding plc,9209255870,USD,7878426304.226299,9209255870,0,NYSE,true,,,,2025-07-01
29,GPS,"The Gap, Inc.",9207895046,USD,7877262132.90254,9207895046,24.55,NYSE,true,,,,2025-07-01
30,BC.MI,Brunello Cucinelli S.p.A.,7235096153,EUR,7235096153,8457253916.468924,0,MIL,true,,,,2025-07-01
31,GAP,"The Gap, Inc.",8422500000,USD,7205364525,8422500000,0,NYSE,true,,,,2025-07-01
32,GIL.TO,Gildan Activewear Inc.,11609163500,CAD,7202116433.299625,8418415613.986745,77.75,TSX,true,,,,2025-07-01
33,ZAL.DE,Zalando SE,7197300000,EUR,7197300000,8413073209.505663,0,XETRA,true,,,,2025-07-01
34,UHR.SW,The Swatch Group AG,6630888545,CHF,7039907150.440599,8228848667.800102,0,SIX,true,,,,2025-07-01
35,VIPS,Vipshop Holdings Limited,7752506100,USD,6632191443.488999,7752506100,0,NYSE,true,,,,2025-07-01
36,LPP.WA,Lpp S.A.,27606363750,PLN,6478937508.4875,7580479752.97726,0,WSE,true,,,,2025-07-01
37,LEVI,Levi Strauss & Co.,7483401611,USD,6401975244.194389,7483401611,0,NYSE,true,,,,2025-07-01
38,DDS,"Dillard's, Inc.",7117742000,USD,6089157103.58,7117742000,0,NYSE,true,,,,2025-07-01
39,3998.HK,Bosideng International Holdings Limited,55106650800,HKD,6029218664.028,7046859257.57318,4.79,HKSE,true,,,,2025-07-01
40,BBWI,"Bath & Body Works, Inc.",6880100000,USD,5885856749,6880100000,0,NYSE,true,,,,2025-07-01
41,URBN,"Urban Outfitters, Inc.",6752029680,USD,5776293870.9432,6752029680,0,NASDAQ,true,,,,2025-07-01
42,CROX,"Crocs, Inc.",6011064300,USD,5142405398.007,6011064300,0,NASDAQ,true,,,,2025-07-01
43,2331.HK,Li Ning Company Limited,46306806760,HKD,5066427727.6116,5921563825.202717,17.98,HKSE,true,,,,2025-07-01
44,ATZ.TO,Aritzia Inc.,7301756620,CAD,4529878603.644124,5294888123.449986,76.76,TSX,true,,,,2025-07-01
45,VFC,V.F. Corporation,4785301440,USD,4093777528.9056,4785301440,0,NYSE,true,,,,2025-07-01
46,BOOT,"Boot Barn Holdings, Inc.",4769069760,USD,4079891488.9824,4769069760,0,NYSE,true,,,,2025-07-01
47,ANF,Abercrombie & Fitch Co.,4417491922,USD,3779120164.35178,4417491922,0,NYSE,true,,,,2025-07-01
48,JWN,"Nordstrom, Inc.",4124015297,USD,3528053846.43053,4124015297,24.66,NYSE,true,,,,2025-07-01
49,PUM.DE,PUMA Se,3497413645,EUR,3497413645,4088199330.2084184,0,XETRA,true,,,,2025-07-01
50,KTB,"Kontoor Brands, Inc.",3896438450,USD,3333364129.5905,3896438450,0,NYSE,true,,,,2025-07-01
51,LREN3.SA,Lojas Renner S.A.,20243766240,BRL,3200747267.0640507,3741362874.2514973,0,SAO,true,,,,2025-07-01
52,PVH,PVH Corp.,3658249000,USD,3129595437.0099998,3658249000,0,NYSE,true,,,,2025-07-01
53,600612.SS,"Lao Feng Xiang Co., Ltd.",26067151719,CNY,3106782956.5932493,3631483501.065742,0,SHH,true,,,,2025-07-01
54,UNF,UniFirst Corporation,3535342470,USD,3024450129.6603,3535342470,0,NYSE,true,,,,2025-07-01
55,COLM,Columbia Sportswear Company,3531306240,USD,3020997175.2576,3531306240,0,NASDAQ,true,,,,2025-07-01
56,M,"Macy's, Inc.",3422808000,USD,2928178015.92,3422808000,0,NYSE,true,,,,2025-07-01
57,BOSS.DE,Hugo Boss AG,2752364739,EUR,2752364739,3217296215.0346584,0,XETRA,true,,,,2025-07-01
58,UA,"Under Armour, Inc.",2909954560,USD,2489437026.5344,2909954560,0,NYSE,true,,,,2025-07-01
59,6110.HK,Topsports International Holdings Limited,19409818600,HKD,2123628253.0259998,2482064467.7833714,3.13,HKSE,true,,,,2025-07-01
60,FL,"Foot Locker, Inc.",2377735000,USD,2034128515.1499999,2377735000,0,NYSE,true,,,,2025-07-01
61,BKE,"The Buckle, Inc.",2367384840,USD,2025274056.7716,2367384840,0,NYSE,true,,,,2025-07-01
62,ZGN,Ermenegildo Zegna N.V.,2279558750,USD,1950139715.0375,2279558750,0,NYSE,true,,,,2025-07-01
63,CPRI,Capri Holdings Limited,2153441760,USD,1842247891.2624,2153441760,0,NYSE,true,,,,2025-07-01
64,002563.SZ,"Zhejiang Semir Garment Co., Ltd.",13880266689,CNY,1654303333.4525173,1933696478.0373638,0,SHZ,true,,,,2025-07-01
65,FOI-B.ST,Fenix Outdoor International AG,18337200000,SEK,1640996394.744,1918283700.3631067,0,STO,true,,,,2025-07-01
66,AEO,"American Eagle Outfitters, Inc.",1829594120,USD,1565199473.7188,1829594120,0,NYSE,true,,,,2025-07-01
67,SHOO,"Steven Madden, Ltd.",1783479600,USD,1525748963.004,1783479600,0,NASDAQ,true,,,,2025-07-01
